Well	Omit	Sample	Target	Dye	Task	Cq	Quantity	Quantification_Date	Row	Column	Extraction_Date	Extraction_Sample_Number	Strain	Sample_ID	Individual_ID	Time_Point	Species	Strain_Comparison	Sample_Type	Pellet_Number	Rerun	ID_Date	Fecal_Weight_g	Fecal_Weight_mg	Copies_16S_in_qPCR	Copies_16S_per_40ul_elution	Copies_16S_per_mg_Feces	ID_Extract_Quant_Date	Cq_Difference	Omit_Technical_Variation
G6	FALSE	Sample 23	Bacteria	SYBR	UNKNOWN	18.06543499	163098.5743	8-Apr-22	G	6	1-Apr-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p2	NA	C57_1431F_44652	0.004	4	163099	6523943	1630986	C57_1431F_44652_44659	0.136870925	NA
G5	FALSE	Sample 23	Bacteria	SYBR	UNKNOWN	17.92856407	178529.4293	8-Apr-22	G	5	1-Apr-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p2	NA	C57_1431F_44652	0.004	4	178529	7141177	1785294	C57_1431F_44652_44659	0.136870925	NA
D10	FALSE	Sample 36	Bacteria	SYBR	UNKNOWN	19.58904335	217871.2138	14-Apr-22	D	10	1-Apr-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p2	rerun	C57_1431F_44652	0.004	4	217871	8714849	2178712	C57_1431F_44652_44665	0.041710023	NA
D9	FALSE	Sample 36	Bacteria	SYBR	UNKNOWN	19.54733333	223996.6627	14-Apr-22	D	9	1-Apr-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p2	rerun	C57_1431F_44652	0.004	4	223997	8959867	2239967	C57_1431F_44652_44665	0.041710023	NA
G9	FALSE	Sample 39	Bacteria	SYBR	UNKNOWN	17.23200779	282818.5962	8-Apr-22	G	9	4-Apr-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p3	NA	C57_1431F_44655	0.018	18	282819	11312744	628486	C57_1431F_44655_44659	0.086516965	NA
G10	FALSE	Sample 39	Bacteria	SYBR	UNKNOWN	17.14549083	299449.9418	8-Apr-22	G	10	4-Apr-22	7	Mmus_B6Con	C57_1431F	m1	w0	Mmus	Donor	Donor	p3	NA	C57_1431F_44655	0.018	18	299450	11977998	665444	C57_1431F_44655_44659	0.086516965	NA
C4	FALSE	Sample 11	Bacteria	SYBR	UNKNOWN	17.6374016	216384.4261	8-Apr-22	C	4	31-Mar-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p1	NA	C57_1433F_44651	0.007	6.7	216384	8655377	1291847	C57_1433F_44651_44659	0.866545329	Omit
C3	FALSE	Sample 11	Bacteria	SYBR	UNKNOWN	16.77085627	383515.8383	8-Apr-22	C	3	31-Mar-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p1	NA	C57_1433F_44651	0.007	6.7	383516	15340634	2289647	C57_1433F_44651_44659	0.866545329	Omit
E8	FALSE	Sample 29	Bacteria	SYBR	UNKNOWN	18.61432144	416487.8471	14-Apr-22	E	8	31-Mar-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p1	rerun	C57_1433F_44651	0.007	6.7	416488	16659514	2486495	C57_1433F_44651_44665	0.114380306	NA
E7	FALSE	Sample 29	Bacteria	SYBR	UNKNOWN	18.49994113	449390.574	14-Apr-22	E	7	31-Mar-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p1	rerun	C57_1433F_44651	0.007	6.7	449391	17975623	2682929	C57_1433F_44651_44665	0.114380306	NA
H5	FALSE	Sample 24	Bacteria	SYBR	UNKNOWN	16.90708549	350515.8953	8-Apr-22	H	5	1-Apr-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p2	NA	C57_1433F_44652	0.008	7.6	350516	14020636	1844821	C57_1433F_44652_44659	0.182353732	NA
H6	FALSE	Sample 24	Bacteria	SYBR	UNKNOWN	16.72473175	395378.9316	8-Apr-22	H	6	1-Apr-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p2	NA	C57_1433F_44652	0.008	7.6	395379	15815157	2080942	C57_1433F_44652_44659	0.182353732	NA
E10	FALSE	Sample 37	Bacteria	SYBR	UNKNOWN	18.54556495	435965.7285	14-Apr-22	E	10	1-Apr-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p2	rerun	C57_1433F_44652	0.008	7.6	435966	17438629	2294556	C57_1433F_44652_44665	0.164450524	NA
E9	FALSE	Sample 37	Bacteria	SYBR	UNKNOWN	18.38111442	486327.9852	14-Apr-22	E	9	1-Apr-22	8	Mmus_B6Con	C57_1433F	m2	w0	Mmus	Donor	Donor	p2	rerun	C57_1433F_44652	0.008	7.6	486328	19453119	2559621	C57_1433F_44652_44665	0.164450524	NA
G5	FALSE	FL1_73f	Target 1	SYBR	UNKNOWN	24.97821268	7185.022247	7-Apr-22	G	5	31-Mar-22	15	Mmus_FL1	FL1_73f	m1	w0	Mmus	Donor	Donor	p1	NA	FL1_73f_44651	0.011	10.8	7185	287401	26611	FL1_73f_44651_44658	0.959535803	Omit
G6	FALSE	FL1_73f	Target 1	SYBR	UNKNOWN	24.01867688	12744.28783	7-Apr-22	G	6	31-Mar-22	15	Mmus_FL1	FL1_73f	m1	w0	Mmus	Donor	Donor	p1	NA	FL1_73f_44651	0.011	10.8	12744	509772	47201	FL1_73f_44651_44658	0.959535803	Omit
G8	FALSE	Sample 31	Bacteria	SYBR	UNKNOWN	19.62455204	58242.18134	8-Apr-22	G	8	1-Apr-22	15	Mmus_FL1	FL1_73f	m1	w0	Mmus	Donor	Donor	p2	NA	FL1_73f_44652	0.011	10.9	58242	2329687	213733	FL1_73f_44652_44659	0.164458278	NA
G7	FALSE	Sample 31	Bacteria	SYBR	UNKNOWN	19.46009377	64924.76091	8-Apr-22	G	7	1-Apr-22	15	Mmus_FL1	FL1_73f	m1	w0	Mmus	Donor	Donor	p2	NA	FL1_73f_44652	0.011	10.9	64925	2596990	238256	FL1_73f_44652_44659	0.164458278	NA
G12	FALSE	Sample 47	Bacteria	SYBR	UNKNOWN	18.14641577	154604.4103	8-Apr-22	G	12	4-Apr-22	15	Mmus_FL1	FL1_73f	m1	w0	Mmus	Donor	Donor	p3	NA	FL1_73f_44655	0.019	18.6	154604	6184176	332483	FL1_73f_44655_44659	0.037270638	NA
G11	FALSE	Sample 47	Bacteria	SYBR	UNKNOWN	18.10914513	158457.3827	8-Apr-22	G	11	4-Apr-22	15	Mmus_FL1	FL1_73f	m1	w0	Mmus	Donor	Donor	p3	NA	FL1_73f_44655	0.019	18.6	158457	6338295	340769	FL1_73f_44655_44659	0.037270638	NA
H12	FALSE	Sample 48	Bacteria	SYBR	UNKNOWN	20.29285046	37458.02593	8-Apr-22	H	12	4-Apr-22	16	Mmus_LEW	LEWES_354	m1	w0	Mmus	Donor	Donor	p1	NA	LEWES_354_44655	0.021	20.8	37458	1498321	72035	LEWES_354_44655_44659	0.509123073	Omit
H11	FALSE	Sample 48	Bacteria	SYBR	UNKNOWN	19.78372739	52430.04677	8-Apr-22	H	11	4-Apr-22	16	Mmus_LEW	LEWES_354	m1	w0	Mmus	Donor	Donor	p1	NA	LEWES_354_44655	0.021	20.8	52430	2097202	100827	LEWES_354_44655_44659	0.509123073	Omit
B7	FALSE	Sample 26	Bacteria	SYBR	UNKNOWN	20.86771767	93120.69959	14-Apr-22	B	7	6-Apr-22	18	Mmus_LEW	LEWES_354	m1	w0	Mmus	Donor	Donor	p2	NA	LEWES_354_44657	0.022	21.9	93121	3724828	170083	LEWES_354_44657_44665	0.059183117	NA
B8	FALSE	Sample 26	Bacteria	SYBR	UNKNOWN	20.80853455	96857.31192	14-Apr-22	B	8	6-Apr-22	18	Mmus_LEW	LEWES_354	m1	w0	Mmus	Donor	Donor	p2	NA	LEWES_354_44657	0.022	21.9	96857	3874292	176908	LEWES_354_44657_44665	0.059183117	NA
H8	FALSE	Sample 32	Bacteria	SYBR	UNKNOWN	18.37760246	132711.6261	8-Apr-22	H	8	1-Apr-22	16	Mmus_LEW	LEWES_355	m2	w0	Mmus	Donor	Donor	p1	NA	LEWES_355_44652	0.005	4.7	132712	5308465	1129461	LEWES_355_44652_44659	0.575329945	Omit
H7	FALSE	Sample 32	Bacteria	SYBR	UNKNOWN	17.80227251	194059.5024	8-Apr-22	H	7	1-Apr-22	16	Mmus_LEW	LEWES_355	m2	w0	Mmus	Donor	Donor	p1	NA	LEWES_355_44652	0.005	4.7	194060	7762380	1651570	LEWES_355_44652_44659	0.575329945	Omit
C12	FALSE	Sample 43	Bacteria	SYBR	UNKNOWN	19.74110631	196924.2654	14-Apr-22	C	12	1-Apr-22	16	Mmus_LEW	LEWES_355	m2	w0	Mmus	Donor	Donor	p1	rerun	LEWES_355_44652	0.005	4.7	196924	7876971	1675951	LEWES_355_44652_44665	0.020393732	NA
C11	FALSE	Sample 43	Bacteria	SYBR	UNKNOWN	19.72071258	199612.1213	14-Apr-22	C	11	1-Apr-22	16	Mmus_LEW	LEWES_355	m2	w0	Mmus	Donor	Donor	p1	rerun	LEWES_355_44652	0.005	4.7	199612	7984485	1698827	LEWES_355_44652_44665	0.020393732	NA
A8	FALSE	Sample 25	Bacteria	SYBR	UNKNOWN	22.36565997	34402.49031	14-Apr-22	A	8	6-Apr-22	17	Mmus_LEW	LEWES_355	m2	w0	Mmus	Donor	Donor	p2	NA	LEWES_355_44657	0.011	10.5	34402	1376100	131057	LEWES_355_44657_44665	0.038291244	NA
A7	FALSE	Sample 25	Bacteria	SYBR	UNKNOWN	22.32736872	35289.42433	14-Apr-22	A	7	6-Apr-22	17	Mmus_LEW	LEWES_355	m2	w0	Mmus	Donor	Donor	p2	NA	LEWES_355_44657	0.011	10.5	35289	1411577	134436	LEWES_355_44657_44665	0.038291244	NA
H5	FALSE	LEWES_369	Target 1	SYBR	UNKNOWN	23.20717684	20692.12232	7-Apr-22	H	5	31-Mar-22	16	Mmus_LEW	LEWES_369	m3	w0	Mmus	Donor	Donor	p1	NA	LEWES_369_44651	0.014	14	20692	827685	59120	LEWES_369_44651_44658	2.254710434	Omit
H6	FALSE	LEWES_369	Target 1	SYBR	UNKNOWN	20.95246641	79549.78582	7-Apr-22	H	6	31-Mar-22	16	Mmus_LEW	LEWES_369	m3	w0	Mmus	Donor	Donor	p1	NA	LEWES_369_44651	0.014	14	79550	3181991	227285	LEWES_369_44651_44658	2.254710434	Omit
H12	FALSE	Sample 48	Bacteria	SYBR	UNKNOWN	20.53797428	115942.6534	14-Apr-22	H	12	31-Mar-22	16	Mmus_LEW	LEWES_369	m3	w0	Mmus	Donor	Donor	p1	redilute	LEWES_369_44651	0.014	14	115943	4637706	331265	LEWES_369_44651_44665	0.249119989	NA
H11	FALSE	Sample 48	Bacteria	SYBR	UNKNOWN	20.28885429	136824.6178	14-Apr-22	H	11	31-Mar-22	16	Mmus_LEW	LEWES_369	m3	w0	Mmus	Donor	Donor	p1	redilute	LEWES_369_44651	0.014	14	136825	5472985	390927	LEWES_369_44651_44665	0.249119989	NA
H5	FALSE	Sample 24	Bacteria	SYBR	UNKNOWN	20.02059626	163534.8857	14-Apr-22	H	5	6-Apr-22	16	Mmus_LEW	LEWES_369	m3	w0	Mmus	Donor	Donor	p2	NA	LEWES_369_44657	0.025	24.9	163535	6541395	262707	LEWES_369_44657_44665	0.486957786	NA
H6	FALSE	Sample 24	Bacteria	SYBR	UNKNOWN	19.53363847	226045.183	14-Apr-22	H	6	6-Apr-22	16	Mmus_LEW	LEWES_369	m3	w0	Mmus	Donor	Donor	p2	NA	LEWES_369_44657	0.025	24.9	226045	9041807	363125	LEWES_369_44657_44665	0.486957786	NA
H9	FALSE	Sample 40	Bacteria	SYBR	UNKNOWN	19.81633141	51313.0942	8-Apr-22	H	9	4-Apr-22	8	Mmus_LEW	LEWES_390	m4	w0	Mmus	Donor	Donor	p1	NA	LEWES_390_44655	0.017	16.6	51313	2052524	123646	LEWES_390_44655_44659	1.887319827	Omit
H10	FALSE	Sample 40	Bacteria	SYBR	UNKNOWN	19.81438136	51379.22534	8-Apr-22	H	10	4-Apr-22	8	Mmus_LEW	LEWES_390	m4	w0	Mmus	Donor	Donor	p1	NA	LEWES_390_44655	0.017	16.6	51379	2055169	123805	LEWES_390_44655_44659	1.887319827	Omit
C8	FALSE	Sample 27	Bacteria	SYBR	UNKNOWN	21.82474161	49289.3578	14-Apr-22	C	8	6-Apr-22	19	Mmus_LEW	LEWES_390	m4	w0	Mmus	Donor	Donor	p2	NA	LEWES_390_44657	0.014	14.3	49289	1971574	137872	LEWES_390_44657_44665	2.008410192	Omit
C7	FALSE	Sample 27	Bacteria	SYBR	UNKNOWN	21.70170118	53490.29126	14-Apr-22	C	7	6-Apr-22	19	Mmus_LEW	LEWES_390	m4	w0	Mmus	Donor	Donor	p2	NA	LEWES_390_44657	0.014	14.3	53490	2139612	149623	LEWES_390_44657_44665	2.008410192	Omit
G3	FALSE	Sample 15	Bacteria	SYBR	UNKNOWN	16.11470771	591549.4004	8-Apr-22	G	3	31-Mar-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p1	NA	NY2_641F_44651	0.034	33.5	591549	23661976	706328	NY2_641F_44651_44659	0.049594244	NA
G4	FALSE	Sample 15	Bacteria	SYBR	UNKNOWN	16.06511347	611246.6403	8-Apr-22	G	4	31-Mar-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p1	NA	NY2_641F_44651	0.034	33.5	611247	24449866	729847	NY2_641F_44651_44659	0.049594244	NA
E8	FALSE	Sample 29	Bacteria	SYBR	UNKNOWN	17.14812369	298929.6743	8-Apr-22	E	8	1-Apr-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p2	NA	NY2_641F_44652	0.011	11.3	298930	11957187	1058158	NY2_641F_44652_44659	0.473905809	NA
A12	FALSE	Sample 41	Bacteria	SYBR	UNKNOWN	18.64734831	407443.5675	14-Apr-22	A	12	1-Apr-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p2	rerun	NY2_641F_44652	0.011	11.3	407444	16297743	1442278	NY2_641F_44652_44665	0.503140892	Omit
E7	FALSE	Sample 29	Bacteria	SYBR	UNKNOWN	16.67421789	408792.3615	8-Apr-22	E	7	1-Apr-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p2	NA	NY2_641F_44652	0.011	11.3	408792	16351694	1447053	NY2_641F_44652_44659	0.473905809	NA
A11	FALSE	Sample 41	Bacteria	SYBR	UNKNOWN	18.14420742	569277.9704	14-Apr-22	A	11	1-Apr-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p2	rerun	NY2_641F_44652	0.011	11.3	569278	22771119	2015143	NY2_641F_44652_44665	0.503140892	Omit
E12	FALSE	Sample 45	Bacteria	SYBR	UNKNOWN	16.16523494	572134.2396	8-Apr-22	E	12	4-Apr-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p3	NA	NY2_641F_44655	0.04	40.3	572134	22885370	567875	NY2_641F_44655_44659	0.105740023	NA
E11	FALSE	Sample 45	Bacteria	SYBR	UNKNOWN	16.05949491	613519.1105	8-Apr-22	E	11	4-Apr-22	13	Mmus_NY2	NY2_641F	m1	w0	Mmus	Donor	Donor	p3	NA	NY2_641F_44655	0.04	40.3	613519	24540764	608952	NY2_641F_44655_44659	0.105740023	NA
A6	FALSE	NY2_645M	Target 1	SYBR	UNKNOWN	22.19857503	37793.69815	7-Apr-22	A	6	31-Mar-22	1	Mmus_NY2	NY2_645M	m2	w0	Mmus	Donor	Donor	p1	NA	NY2_645M_44651	0.035	35.5	37794	1511748	42584	NY2_645M_44651_44658	0.254235043	NA
